
央视,#genre#
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8$iptv
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8$iptv
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8$iptv
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8$iptv
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8$iptv
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8$iptv
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8$iptv
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8$iptv
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8$iptv
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8$iptv
CCTV1,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv1$iptv
CCTV2,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv2$iptv
CCTV4,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv4$iptv
CCTV7,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv7$iptv
CCTV9,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv9$iptv
CCTV10,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv10$iptv
CCTV12,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv12$iptv
CCTV13,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv13$iptv
CCTV17,http://iptv.morefun.cn/sttv/cctv/ysxw/cctv.php?id=cctv17$iptv
CCTV2,http://iptv.morefun.cn/sttv/cctv/miguHD.php?id=CCTV2$iptv
CCTV13,http://iptv.morefun.cn/sttv/cctv/miguHD.php?id=CCTV13$iptv
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1$cdn6
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2$cdn6
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3$cdn6
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4$cdn6
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5$cdn6
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p$cdn6
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6$cdn6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7$cdn6
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8$cdn6
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9$cdn6
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10$cdn6
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11$cdn6
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12$cdn6
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13$cdn6
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14$cdn6
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15$cdn6
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16$cdn6
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17$cdn6
CCTV1,http://rihou.cc:555/tv/[mg]CCTV-01$rihou
CCTV2,http://rihou.cc:555/tv/[mg]CCTV-02$rihou
CCTV3,http://rihou.cc:555/tv/[mg]CCTV-03$rihou
CCTV4,http://rihou.cc:555/tv/[mg]CCTV-04$rihou
CCTV5,http://rihou.cc:555/tv/[mg]CCTV-05$rihou
CCTV5+,http://rihou.cc:555/tv/[mg]CCTV-5p$rihou
CCTV6,http://rihou.cc:555/tv/[mg]CCTV-06$rihou
CCTV7,http://rihou.cc:555/tv/[mg]CCTV-07$rihou
CCTV8,http://rihou.cc:555/tv/[mg]CCTV-08$rihou
CCTV9,http://rihou.cc:555/tv/[mg]CCTV-09$rihou
CCTV10,http://rihou.cc:555/tv/[mg]CCTV-10$rihou
CCTV11,http://rihou.cc:555/tv/[mg]CCTV-11$rihou
CCTV12,http://rihou.cc:555/tv/[mg]CCTV-12$rihou
CCTV13,http://rihou.cc:555/tv/[mg]CCTV-13$rihou
CCTV14,http://rihou.cc:555/tv/[mg]CCTV-14$rihou
CCTV15,http://rihou.cc:555/tv/[mg]CCTV-15$rihou
CCTV16,http://rihou.cc:555/tv/[mg]CCTV-16$rihou
CCTV17,http://rihou.cc:555/tv/[mg]CCTV-17$rihou
CCTV1,http://t.061899.xyz/tl/tl.php?id=cctv1$t
CCTV2,http://t.061899.xyz/tl/tl.php?id=cctv2$t
CCTV3,http://t.061899.xyz/tl/tl.php?id=cctv3$t
CCTV4,http://t.061899.xyz/tl/tl.php?id=cctv4$t
CCTV5,http://t.061899.xyz/tl/tl.php?id=cctv5$t
CCTV5+,http://t.061899.xyz/tl/tl.php?id=cctv5p$t
CCTV6,http://t.061899.xyz/tl/tl.php?id=cctv6$t
CCTV7,http://t.061899.xyz/tl/tl.php?id=cctv7$t
CCTV8,http://t.061899.xyz/tl/tl.php?id=cctv8$t
CCTV9,http://t.061899.xyz/tl/tl.php?id=cctv9$t
CCTV10,http://t.061899.xyz/tl/tl.php?id=cctv10$t
CCTV11,http://t.061899.xyz/tl/tl.php?id=cctv11$t
CCTV12,http://t.061899.xyz/tl/tl.php?id=cctv12$t
CCTV13,http://t.061899.xyz/tl/tl.php?id=cctv13$t
CCTV14,http://t.061899.xyz/tl/tl.php?id=cctv14$t
CCTV15,http://t.061899.xyz/tl/tl.php?id=cctv15$t
CCTV16,http://t.061899.xyz/tl/tl.php?id=cctv16$t
CCTV17,http://t.061899.xyz/tl/tl.php?id=cctv17$t
CCTV1,http://k.061899.xyz/m.php?id=cctv1$k
CCTV2,http://k.061899.xyz/m.php?id=cctv2$k
CCTV3,http://k.061899.xyz/m.php?id=cctv3$k
CCTV4,http://k.061899.xyz/m.php?id=cctv4$k
CCTV5,http://k.061899.xyz/m.php?id=cctv5$k
CCTV5+,http://k.061899.xyz/m.php?id=cctv5p$k
CCTV6,http://k.061899.xyz/m.php?id=cctv6$k
CCTV7,http://k.061899.xyz/m.php?id=cctv7$k
CCTV8,http://k.061899.xyz/m.php?id=cctv8$k
CCTV9,http://k.061899.xyz/m.php?id=cctv9$k
CCTV10,http://k.061899.xyz/m.php?id=cctv10$k
CCTV11,http://k.061899.xyz/m.php?id=cctv11$k
CCTV12,http://k.061899.xyz/m.php?id=cctv12$k
CCTV13,http://k.061899.xyz/m.php?id=cctv13$k
CCTV14,http://k.061899.xyz/m.php?id=cctv14$k
CCTV15,http://k.061899.xyz/m.php?id=cctv15$k
CCTV16,http://k.061899.xyz/m.php?id=cctv16$k
CCTV17,http://k.061899.xyz/m.php?id=cctv17$k
CCTV1,http://j.s.bkpcp.top/jj/cctv1$j
CCTV2,http://j.s.bkpcp.top/jj/cctv2$j
CCTV3,http://j.s.bkpcp.top/jj/cctv3$j
CCTV4,http://j.s.bkpcp.top/jj/cctv4$j
CCTV5,http://j.s.bkpcp.top/jj/cctv5$j
CCTV5+,http://j.s.bkpcp.top/jj/cctv5p$j
CCTV6,http://j.s.bkpcp.top/jj/cctv6$j
CCTV7,http://j.s.bkpcp.top/jj/cctv7$j
CCTV8,http://j.s.bkpcp.top/jj/cctv8$j
CCTV9,http://j.s.bkpcp.top/jj/cctv9$j
CCTV10,http://j.s.bkpcp.top/jj/cctv10$j
CCTV11,http://j.s.bkpcp.top/jj/cctv11$j
CCTV12,http://j.s.bkpcp.top/jj/cctv12$j
CCTV13,http://j.s.bkpcp.top/jj/cctv13$j
CCTV14,http://j.s.bkpcp.top/jj/cctv14$j
CCTV15,http://j.s.bkpcp.top/jj/cctv15$j
CCTV16,http://j.s.bkpcp.top/jj/cctv16$j
CCTV17,http://j.s.bkpcp.top/jj/cctv17$j
CCTV1,http://183.222.242.31:8088/hls/1/index.m3u8$183
CCTV2,http://183.222.242.31:8088/hls/2/index.m3u8$183
CCTV3,http://183.222.242.31:8088/hls/3/index.m3u8$183
CCTV4,http://183.222.242.31:8088/hls/4/index.m3u8$183
CCTV5,http://183.222.242.31:8088/hls/5/index.m3u8$183
CCTV6,http://183.222.242.31:8088/hls/6/index.m3u8$183
CCTV7,http://183.222.242.31:8088/hls/7/index.m3u8$183
CCTV8,http://183.222.242.31:8088/hls/8/index.m3u8$183
CCTV9,http://183.222.242.31:8088/hls/9/index.m3u8$183
CCTV10,http://183.222.242.31:8088/hls/10/index.m3u8$183
CCTV11,http://183.222.242.31:8088/hls/11/index.m3u8$183
CCTV12,http://183.222.242.31:8088/hls/12/index.m3u8$183
CCTV13,http://183.222.242.31:8088/hls/13/index.m3u8$183
CCTV14,http://183.222.242.31:8088/hls/14/index.m3u8$183
CCTV15,http://183.222.242.31:8088/hls/15/index.m3u8$183
CCTV5+,http://183.222.242.31:8088/hls/16/index.m3u8$183
CCTV1,http://iptv.4666888.xyz/iptv2A.php?id=7$iptv
CCTV2,http://iptv.4666888.xyz/iptv2A.php?id=8$iptv
CCTV3,http://iptv.4666888.xyz/iptv2A.php?id=9$iptv
CCTV4,http://iptv.4666888.xyz/iptv2A.php?id=10$iptv
CCTV13,http://iptv.4666888.xyz/iptv2A.php?id=11$iptv
CCTV14,http://iptv.4666888.xyz/iptv2A.php?id=12$iptv
CCTV16,http://iptv.4666888.xyz/iptv2A.php?id=32$iptv
CCTV1,http://m.061899.xyz/mg/cctv1$m
CCTV2,http://m.061899.xyz/mg/cctv2$m
CCTV3,http://m.061899.xyz/mg/cctv3$m
CCTV4,http://m.061899.xyz/mg/cctv4$m
CCTV5,http://m.061899.xyz/mg/cctv5$m
CCTV5+,http://m.061899.xyz/mg/cctv5p$m
CCTV6,http://m.061899.xyz/mg/cctv6$m
CCTV7,http://m.061899.xyz/mg/cctv7$m
CCTV8,http://m.061899.xyz/mg/cctv8$m
CCTV9,http://m.061899.xyz/mg/cctv9$m
CCTV10,http://m.061899.xyz/mg/cctv10$m
CCTV11,http://m.061899.xyz/mg/cctv11$m
CCTV12,http://m.061899.xyz/mg/cctv12$m
CCTV13,http://m.061899.xyz/mg/cctv13$m
CCTV14,http://m.061899.xyz/mg/cctv14$m
CCTV15,http://m.061899.xyz/mg/cctv15$m
CCTV16,http://m.061899.xyz/mg/cctv16$m
CCTV17,http://m.061899.xyz/mg/cctv17$m
CCTV1,http://ik.kimkimkk.top:2222/rtp/239.0.1.3:8008$ik
CCTV2,http://ik.kimkimkk.top:2222/rtp/239.0.1.4:8084$ik
CCTV1,http://ik.kimkimkk.top:2222/rtp/239.0.1.65:8080$ik
CCTV2,http://ik.kimkimkk.top:2222/rtp/239.0.1.66:8004$ik
CCTV3,http://ik.kimkimkk.top:2222/rtp/239.0.1.103:5052$ik
CCTV3,http://ik.kimkimkk.top:2222/rtp/239.0.1.177:6037$ik
CCTV4,http://ik.kimkimkk.top:2222/rtp/239.0.1.67:8216$ik
CCTV4,http://ik.kimkimkk.top:2222/rtp/239.0.1.180:6040$ik
CCTV5,http://ik.kimkimkk.top:2222/rtp/239.0.1.104:5053$ik
CCTV5,http://ik.kimkimkk.top:2222/rtp/239.0.1.175:6035$ik
CCTV6,http://ik.kimkimkk.top:2222/rtp/239.0.1.105:5054$ik
CCTV6,http://ik.kimkimkk.top:2222/rtp/239.0.1.176:6036$ik
CCTV7,http://ik.kimkimkk.top:2222/rtp/239.0.1.68:8024$ik
CCTV7,http://ik.kimkimkk.top:2222/rtp/239.0.1.96:8104$ik
CCTV8,http://ik.kimkimkk.top:2222/rtp/239.0.1.106:5055$ik
CCTV8,http://ik.kimkimkk.top:2222/rtp/239.0.1.174:6034$ik
CCTV9,http://ik.kimkimkk.top:2222/rtp/239.0.1.69:8032$ik
CCTV9,http://ik.kimkimkk.top:2222/rtp/239.0.1.97:8112$ik
CCTV10,http://ik.kimkimkk.top:2222/rtp/239.0.1.70:8228$ik
CCTV10,http://ik.kimkimkk.top:2222/rtp/239.0.1.98:8116$ik
CCTV11,http://ik.kimkimkk.top:2222/rtp/239.0.1.71:5400$ik
CCTV12,http://ik.kimkimkk.top:2222/rtp/239.0.1.72:8232$ik
CCTV12,http://ik.kimkimkk.top:2222/rtp/239.0.1.99:8124$ik
CCTV13,http://ik.kimkimkk.top:2222/rtp/239.0.1.73:8264$ik
CCTV14,http://ik.kimkimkk.top:2222/rtp/239.0.1.74:8236$ik
CCTV14,http://ik.kimkimkk.top:2222/rtp/239.0.1.100:8132$ik
CCTV15,http://ik.kimkimkk.top:2222/rtp/239.0.1.75:8052$ik
CCTV17,http://ik.kimkimkk.top:2222/rtp/239.0.1.192:9264$ik
CCTV5+,http://ik.kimkimkk.top:2222/rtp/239.0.1.101:8004$ik
CCTV1,rtmp://play.kankanlive.com/live/1698234869325962$play
CCTV1,http://play.kankanlive.com/live/1698234869325962.m3u8$play
CCTV2,rtmp://play.kankanlive.com/live/1698234898628961$play
CCTV2,http://play.kankanlive.com/live/1698234898628961.m3u8$play
CCTV11,rtmp://play.kankanlive.com/live/1698423476198918$play
CCTV11,http://play.kankanlive.com/live/1698423476198918.m3u8$play
CCTV12,rtmp://play.kankanlive.com/live/1698423511884917$play
CCTV12,http://play.kankanlive.com/live/1698423511884917.m3u8$play
CCTV13,rtmp://play.kankanlive.com/live/1698423543275916$play
CCTV13,http://play.kankanlive.com/live/1698423543275916.m3u8$play
CCTV14,rtmp://play.kankanlive.com/live/1698423575756915$play
CCTV14,http://play.kankanlive.com/live/1698423575756915.m3u8$play
CCTV15,rtmp://play.kankanlive.com/live/1698423607826914$play
CCTV15,http://play.kankanlive.com/live/1698423607826914.m3u8$play
卫视,#genre#
北京卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002309&id=2024052703$49
东方卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002483&id=2024054503$49
江苏卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002521&id=2024171103$49
浙江卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002520&id=2024054703$49
湖南卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002475&id=2024054803$49
湖北卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002508&id=2024171203$49
广东卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002485&id=2024060903$49
广西卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002509&id=2024060703$49
黑龙江卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002498&id=2024061003$49
海南卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002506&id=2024055603$49
重庆卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002531&id=2024061103$49
深圳卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002481&id=2024061303$49
四川卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002516&id=2024061403$49
河南卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002525&id=2024059703$49
东南卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002484&id=2024061503$49
贵州卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002490&id=2024061603$49
江西卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002503&id=2024061703$49
辽宁卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002505&id=2024171303$49
安徽卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002532&id=2024171403$49
河北卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002493&id=2024171503$49
山东卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600002513&id=2024171603$49
天津卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600152137&id=2019927003$49
陕西卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190400&id=2025561103$49
内蒙古卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190401&id=2025561203$49
云南卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190402&id=2025561303$49
甘肃卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190408&id=2025561703$49
吉林卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190405&id=2025561503$49
青海卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190406&id=2025559103$49
宁夏卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190737&id=2025608503$49
山西卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190407&id=2025560803$49
新疆卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600152138&id=2019927403$49
西藏卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600190403&id=2025558003$49
兵团卫视,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600193252&id=2025990501$49
北京卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30024$iptv
天津卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30027$iptv
河北卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30035$iptv
辽宁卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30033$iptv
吉林卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30037$iptv
黑龙江卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30032$iptv
东方卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30023$iptv
江苏卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30021$iptv
浙江卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30022$iptv
安徽卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30030$iptv
东南卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30038$iptv
江西卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30036$iptv
山东卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30028$iptv
河南卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30041$iptv
湖北卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30029$iptv
湖南卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30000$iptv
广东卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30025$iptv
广西卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30040$iptv
重庆卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30031f$iptv
四川卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30034$iptv
兵团卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30121$iptv
深圳卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30026$iptv
厦门卫视,http://iptv.morefun.cn/sttv/cctv/zbzg/zbzg.php?id=30123$iptv
兵团卫视,http://iptv.morefun.cn/sttv/cctv/btws.php$iptv
浙江卫视,http://iptv.morefun.cn/sttv/zjtv.php?id=浙江卫视$iptv
北京卫视,http://tvtj1.jxwltx.com:8003/bjws.m3u8$tvtj1
浙江卫视,http://tvtj1.jxwltx.com:8003/zjws.m3u8$tvtj1
江苏卫视,http://tvtj.jxwltx.com:8003/jsws.m3u8$tvtj
湖南卫视,http://tvtj.jxwltx.com:8003/hunanws.m3u8$tvtj
广东卫视,http://tvtj.jxwltx.com:8003/gdws.m3u8$tvtj
深圳卫视,http://tvtj1.jxwltx.com:8003/szws.m3u8$tvtj1
安徽卫视,http://tvtj1.jxwltx.com:8003/ahws.m3u8$tvtj1
山东卫视,http://tvtj1.jxwltx.com:8003/sdws.m3u8$tvtj1
山西卫视,http://tvtj1.jxwltx.com:8003/sxws.m3u8$tvtj1
河南卫视,http://tvtj1.jxwltx.com:8003/hnws.m3u8$tvtj1
江西卫视,http://tvtj1.jxwltx.com:8003/jxws.m3u8$tvtj1
四川卫视,http://tvtj1.jxwltx.com:8003/scws.m3u8$tvtj1
广西卫视,http://tvtj1.jxwltx.com:8003/gxws.m3u8$tvtj1
云南卫视,http://tvtj.jxwltx.com:8003/ynws.m3u8$tvtj
东南卫视,http://tvtj.jxwltx.com:8003/dnws.m3u8$tvtj
厦门卫视,http://tvtj1.jxwltx.com:8003/tjws.m3u8$tvtj1
宁夏卫视,http://tvtj1.jxwltx.com:8003/linxws.m3u8$tvtj1
青海卫视,http://tvtj1.jxwltx.com:8003/live1096.m3u8$tvtj1
吉林卫视,http://tvtj1.jxwltx.com:8003/jlws.m3u8             $tvtj1
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=14$iptv
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=15$iptv
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=13$iptv
广东卫视,http://iptv.4666888.xyz/iptv2A.php?id=18$iptv
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=16$iptv
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=17$iptv
湖南卫视,https://hlsbkmgsplive.miguvideo.com/wd-hunanhd-2500/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
湖南卫视,https://hlsbkmgsplive.miguvideo.com/wd-hunanhd-1200/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
湖南卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/hunanhd265/57/20191230/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
湖南卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/hunanhd265/51/20191230/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
江苏卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/jswshd265/55/20200407/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
江苏卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/jswshd265/54/20200407/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
浙江卫视,https://play-qukan.cztv.com/live/1746687468244305.m3u8$play-qukan
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$ali-m-l
东方卫视,https://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/3000/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
东方卫视,https://hlsbkmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/1200/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
东方卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/dongfanghd265/57/20191230/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
东方卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/dongfanghd265/51/20191230/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
广东卫视,https://hlsbkmgsplive.miguvideo.com/ws_w/gdws/gdws3000/3000/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
广东卫视,https://hlsbkmgsplive.miguvideo.com/ws_w/2018/gdws/gdws2000/2000/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
广东卫视,https://hlsbkmgsplive.miguvideo.com/migu/kailu/gdwshd265/55/20200407/01.m3u8?&HlsSubType=&encrypt=$hlsbkmgsplive
